time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_roll_by_manual,align_pitch_by_manual,align_yaw_by_manual,algo_lat,algo_lon,algo_alt
1570519677,31.50802902,120.4017637,720.4256724,0.026493059,-0.549898956,-0.744961771,37.03672999,1.760246037,-0.021391798,44.4477786,-2.801327102,-0.636544348,0.822370816,5.171190336,-1.228246959,39.54059347,2.106532902,0.003419836,0.026493059,0.549898956,6.512355461,1.176993059,5.377275016,0.954664848,31.50806861,120.4018203,11.93386667
1570519677,31.50803546,120.401764,721.0960331,-0.11118557,-0.516425312,-0.755792262,37.75078732,1.787794288,-0.033087586,45.14603916,-2.796980457,-0.638900878,1.187594051,5.2823834,-1.204390283,40.25380462,2.150879796,0.015115625,-0.11118557,0.516425312,6.523185952,1.03931443,5.343801372,0.965495339,31.50807487,120.401821,11.93151479
1570519677,31.50804185,120.4017644,721.382512,0.210874848,-0.548315228,-0.963555395,38.4593007,1.823892031,-0.038083326,45.82753685,-2.786754809,-0.631273602,1.013115835,5.233118928,-1.255134287,40.96235901,2.186163363,0.020111364,0.210874848,0.548315228,6.730949085,1.361374848,5.375691288,1.173258472,31.508081,120.4018216,11.93914667
1570519677,31.5080482,120.4017647,721.8580669,0.420315538,-0.590422831,-1.503379308,39.16337895,1.848590448,-0.046379017,46.49614521,-2.788732007,-0.637314189,1.266056879,5.20733116,-1.03861135,41.66535521,2.232342867,0.028407056,0.420315538,0.590422831,7.270772998,1.570815538,5.417798891,1.713082385,31.508087,120.4018223,11.93311068
1570519677,31.50805473,120.4017648,721.2450021,0.2786359,-0.739366405,-2.328152067,39.88741521,1.859039696,-0.035674511,47.18111104,-2.767810735,-0.644725098,1.534145331,5.325004565,-0.525264038,42.38677648,2.294704994,0.017702549,0.2786359,0.739366405,8.095545757,1.4291359,5.566742465,2.537855144,31.50809316,120.4018229,11.92570454
1570519678,31.50806097,120.4017647,721.4569965,0.304187684,-0.95377126,-3.486783798,40.57929681,1.85049008,-0.039370129,47.87867132,-2.722336546,-0.638195494,1.423969922,5.395209007,0.191233229,43.07429666,2.372738587,0.021398168,0.304187684,0.95377126,9.254177488,1.454687684,5.78114732,3.696486875,31.50809946,120.4018231,11.93223906
1570519678,31.50806714,120.4017643,721.6346134,0.056898384,-1.052753446,-4.941298852,41.2634169,1.813442163,-0.042465735,48.57838535,-2.653908286,-0.642040245,1.440453526,5.635042179,1.313591521,43.75123083,2.478346271,0.024493773,0.056898384,1.052753446,10.70869254,1.207398384,5.880129506,5.151001927,31.5081058,120.4018231,11.92839932
1570519678,31.50807326,120.4017638,722.2190303,0.147740754,-1.173772393,-6.571582429,41.94199312,1.764994933,-0.052661305,49.26745933,-2.55942259,-0.650970855,1.177726081,5.720566981,2.674802134,44.42150367,2.594738461,0.034689344,0.147740754,1.173772393,12.33897612,1.298240754,6.001148453,6.781285507,31.50811207,120.4018229,11.9194737
1570519678,31.50807928,120.401763,722.3966473,0.179529506,-1.181724435,-8.478450634,42.60948145,1.690899235,-0.055756882,49.95262975,-2.444974629,-0.654985274,1.164369034,5.787814502,4.264780827,45.07816732,2.735535063,0.037784921,0.179529506,1.181724435,14.24584432,1.330029506,6.009100495,8.688153707,31.50811832,120.4018224,11.91546431
1570519678,31.50808532,120.4017619,721.2392725,-0.046322437,-0.971223725,-10.79932716,43.27918718,1.590205129,-0.035552381,50.70667169,-2.321845201,-0.672460732,1.321210249,5.90795025,6.168808678,45.73436428,2.903018262,0.01758042,-0.046322437,0.971223725,16.56672085,1.104177563,5.798599785,11.00903024,31.5081252,120.4018219,11.89799448
1570519679,31.50809142,120.4017604,721.4398077,-0.212476957,-1.029203285,-13.54027793,43.95554578,1.442013878,-0.039047773,51.29229389,-2.135776255,-0.655038005,1.190914784,5.683865942,8.345060985,46.39240743,3.118426725,0.021075811,-0.212476957,1.029203285,19.30767162,0.938023043,5.856579345,13.74998101,31.50813063,120.4018206,11.91542161
1570519679,31.50809687,120.4017588,721.6460725,0.013165076,-1.155534816,-16.11934465,44.55983338,1.288122994,-0.042643596,51.92595855,-1.915105286,-0.651793329,0.899913725,5.653695387,10.83411364,46.97817165,3.332263548,0.024671634,0.013165076,1.155534816,21.88673834,1.163665076,5.982910876,16.32904773,31.50813651,120.4018189,11.91867111
1570519679,31.50810239,120.4017566,721.9955768,-0.028568606,-1.13227497,-19.27479391,45.17188249,1.086734969,-0.048739311,52.56234489,-1.674900779,-0.658145343,1.101855779,5.850155859,13.56365492,47.5668851,3.594137038,0.030767349,-0.028568606,1.13227497,25.0421876,1.121931394,5.95965103,19.48449699,31.50814244,120.4018171,11.912324
