time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_roll_by_manual,align_pitch_by_manual,align_yaw_by_manual,align_vel_x,align_vel_y,align_vel_z,algo_lat,algo_lon,algo_alt
1570520711,31.50659281,120.4045688,767.7519863,-1.284061923,-0.438525551,110.930617,-55.42847598,126.6532226,-0.777601844,108.4393636,-0.993002717,-20.12480863,-0.048865462,4.403570594,-0.251024529,7.868394636,0.458395802,0.685106161,138.3569433,7.349936106,0.761692075,-1.284061923,0.438525551,5.737938786,-0.184061923,5.246845808,1.72723422,8.38084247,-0.340584389,0.138050649,31.50664668,120.4042479,-7.487281931
1570520711,31.50658688,120.4045849,768.6916371,-1.477101968,-0.279877245,110.8814953,-56.08596654,128.1874141,-0.793965453,110.1179473,-0.896637971,-20.10298752,-0.202231924,4.228865109,-0.193187575,7.837392361,0.459908759,0.67175093,140.0230248,7.450979887,0.778055684,-1.477101968,0.279877245,5.787060446,-0.377101968,5.088197502,1.77635588,8.3124765,-0.323176109,0.116213903,31.50664066,120.4042642,-7.465432148
1570520711,31.506581,120.404601,769.6713949,-1.616746479,-0.279558677,110.8310783,-56.73791302,129.7168559,-0.81102877,111.7476585,-0.80323698,-20.07594029,-0.358625147,4.25947249,-0.171826395,7.819037136,0.462023307,0.688712905,141.6823735,7.554846178,0.795119,-1.616746479,0.279558677,5.837477426,-0.516746479,5.087878934,1.82677286,8.28702418,-0.335328846,0.131827306,31.50663481,120.4042799,-7.438356671
1570520711,31.50657547,120.4046162,770.7714739,-1.762342003,-0.31131815,110.7746657,-57.3510529,131.1617511,-0.830193742,113.3363506,-0.723444964,-20.04317048,-0.521867801,4.243873782,-0.163021638,7.740990287,0.453716254,0.672595569,143.2487525,7.655443812,0.814283972,-1.762342003,0.31131815,5.893890038,-0.662342003,5.119638407,1.883185472,8.222710385,-0.324220367,0.119865695,31.50662903,120.4042953,-7.405558911
1570520711,31.50656941,120.404633,771.8257162,-1.918022648,-0.308688235,110.7018423,-58.02295632,132.751041,-0.848554791,114.6928375,-0.662218262,-20.01324518,-0.649115988,4.221893764,-0.112118891,7.584771882,0.442600303,0.676131381,144.9705398,7.768337759,0.832645022,-1.918022648,0.308688235,5.966713461,-0.818022648,5.117008492,1.956008895,8.193476312,-0.308006874,0.138414024,31.50662403,120.4043083,-7.375609437
1570520712,31.50656333,120.404649,771.7455022,-2.006904861,-0.302100273,110.6193332,-58.69707778,134.2709837,-0.847116811,116.0815714,-0.590260501,-19.98404733,-0.679240675,4.175555172,-0.019241213,7.409872069,0.410216297,0.664249142,146.6313527,7.848124626,0.831207041,-2.006904861,0.302100273,6.049222572,-0.906904861,5.11042053,2.038518006,8.109756427,-0.32339771,0.122511303,31.50661899,120.4043217,-7.346386532
1570520712,31.50655768,120.4046647,772.874229,-2.159092529,-0.144341972,110.5276008,-59.32352182,135.7643276,-0.866779409,117.5267227,-0.510813859,-19.95538961,-0.785059692,4.02251377,0.077483537,7.324162868,0.407406597,0.639381159,148.2469975,7.958578564,0.850869639,-2.159092529,0.144341972,6.140954981,-1.059092529,4.952662229,2.130250415,8.077520588,-0.315017375,0.106357017,31.50661378,120.4043357,-7.317702422
1570520712,31.50655205,120.4046803,774.0946291,-2.140568935,-0.273744233,110.39009,-59.94774818,137.251972,-0.888041739,118.9264787,-0.434727433,-19.92925512,-0.743327372,4.145314084,0.223098636,7.218431002,0.386461361,0.655356805,149.8565537,8.068456142,0.87213197,-2.140568935,0.273744233,6.278465792,-1.040568935,5.08206449,2.267761226,8.028176015,-0.326376537,0.143867965,31.50660872,120.4043492,-7.291542055
1570520712,31.50654683,120.4046951,775.3150292,-2.212031596,-0.175060651,110.140461,-60.52651528,138.6560195,-0.909305909,120.2810439,-0.351931371,-19.89755964,-0.804023957,3.995417037,0.49721631,7.062480063,0.411150975,0.635691335,151.3710029,8.181436284,0.89339614,-2.212031596,0.175060651,6.528094801,-1.112031596,4.983380908,2.517390235,7.950486805,-0.299648618,0.103703842,31.50660391,120.4043623,-7.259821251
1570520712,31.50654119,120.4047114,776.5239702,-2.345775835,-0.151073103,109.7458158,-61.15184921,140.2035116,-0.930366122,121.5914862,-0.256096668,-19.86325622,-0.977053847,3.989027724,0.857228741,6.992819509,0.447174518,0.625643885,153.0345372,8.317185522,0.914456352,-2.345775835,0.151073103,6.922739921,-1.245775835,4.95939336,2.912035355,7.95494242,-0.252856602,0.126231771,31.50659938,120.4043751,-7.225493052
