time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_vel_x,align_vel_y,align_vel_z,algo_lat,algo_lon,algo_alt,loop_pose_x,loop_pose_y,loop_pose_z,loop_lat,loop_lon,loop_alt,loop_roll,loop_pitch,loop_yaw
1573538320,31.50764594,120.4016074,12.5062,-1.229763578,0.939299809,72.19632591,-6.547367025,-10.60141698,0.012312176,-10.22676,6.34335,0.0938,0.651887718,0.001267039,-52.36188535,3.56294662,-0.0682593,0.060259301,-9.421336133,7.783902383,0.013677824,-1.229763578,-0.939299809,-51.82753441,3.520382762,-0.11297522,-0.011838768,31.50763461,120.4016187,12.58632191,-11.04067,6.05368,-0.0571,31.50762682,120.4016186,12.43542305,0.0110287,0.00024414,-0.924530047
1573538320,31.50764681,120.401611,12.5105,-0.994435209,1.048736336,72.02542497,-6.450903116,-10.26418544,0.008011528,-10.01132,6.05067,0.1009,0.868263374,-0.050518681,-52.21210774,3.523031622,-0.070681708,0.061531845,-9.213526642,7.50133272,0.017978472,-0.994435209,-1.048736336,-51.65663346,3.486950737,-0.114858959,-0.030123901,31.50763551,120.4016224,12.59342128,-10.8354,5.76094,-0.05053,31.50762763,120.4016222,12.44199242,0.015069106,-0.000801017,-0.921889818
1573538320,31.50764772,120.4016145,12.5127,-0.901717483,1.177248686,71.87611848,-6.350004054,-9.929803738,0.005810896,-9.79638,5.76484,0.10582,0.986546497,-0.163625647,-52.04296809,3.527743782,-0.012568759,0.017184482,-9.00255124,7.22297841,0.020179104,-0.901717483,-1.177248686,-51.50732697,3.48765003,-0.035737574,-0.060637836,31.50763643,120.401626,12.59834067,-10.62583,5.46861,-0.0464,31.50762849,120.4016259,12.4461218,0.017090494,-0.002701613,-0.918883499
1573538320,31.50764869,120.401618,12.513,-0.958444665,1.216821205,71.76990137,-6.242452271,-9.59732193,0.005510281,-9.57378,5.47786,0.10682,0.949347261,-0.22721008,-51.93479464,3.546608918,0.023183493,-0.038633987,-8.78600038,6.948720751,0.020479719,-0.958444665,-1.216821205,-51.40110986,3.510984793,-0.006872163,-0.084404829,31.50763741,120.4016296,12.59934007,-10.40991,5.17669,-0.04591,31.5076294,120.4016295,12.4466112,0.016625859,-0.003947717,-0.917238495
1573538320,31.50764958,120.401622,12.4921,-1.03917328,1.145134682,71.60453069,-6.143770779,-9.21354293,0.026409618,-9.34723,5.18836,0.10284,0.830125104,-0.185579315,-51.77949042,3.566547531,-0.017161287,-0.052749104,-8.559910591,6.623286019,-0.000419618,-1.03917328,-1.145134682,-51.23573919,3.507544272,-0.0591789,-0.093205408,31.50763842,120.4016333,12.59535948,-10.19184,4.88684,-0.05062,31.50763033,120.4016332,12.44190061,0.014353833,-0.003124401,-0.914455335
1573538320,31.50765053,120.4016256,12.4914,-0.979142491,1.072062005,71.50716956,-6.038436543,-8.879161243,0.027109045,-9.12337,4.89901,0.10072,0.892429783,-0.110258519,-51.67392202,3.574078639,-0.024091071,-0.020525165,-8.344777343,6.346475434,-0.001119045,-0.979142491,-1.072062005,-51.13837805,3.493629223,-0.050503441,-0.062548477,31.5076394,120.401637,12.59323892,-9.97768,4.59853,-0.05359,31.50763124,120.4016368,12.43893004,0.015557476,-0.002054667,-0.912686805
1573538320,31.5076515,120.4016291,12.4935,-1.02329463,1.030901807,71.34456587,-5.930884726,-8.547629403,0.025008492,-8.90119,4.61608,0.10063,0.873436659,-0.066982907,-51.53724418,3.548753721,0.004377167,0.011115826,-8.128557099,6.073108355,0.000981508,-1.02329463,-1.030901807,-50.97577436,3.474981312,-0.03012194,-0.030968491,31.50764039,120.4016406,12.59314839,-9.75627,4.30489,-0.05372,31.50763219,120.4016405,12.43879949,0.015098288,-0.001094349,-0.910299703
1573538321,31.50765248,120.4016325,12.4976,-1.045163399,1.099613618,71.13726519,-5.822224114,-8.219897369,0.020907959,-8.67118,4.33013,0.10502,0.844490198,-0.109049714,-51.33868506,3.511663966,0.031378492,0.052449654,-7.912619956,5.803689415,0.005082041,-1.045163399,-1.099613618,-50.76847368,3.430609493,0.010363843,-0.011350769,31.50764144,120.4016443,12.59753786,-9.53809,4.02148,-0.04958,31.50763314,120.4016441,12.44293896,0.014428723,-0.001669115,-0.906716634
1573538321,31.50765349,120.4016359,12.5043,-1.083542293,1.165316066,70.89780771,-5.710237139,-7.895965128,0.014207448,-8.44391,4.05419,0.11284,0.744552367,-0.186272368,-51.12536571,3.508470937,0.016800731,0.074662131,-7.694887003,5.538990452,0.011782552,-1.083542293,-1.165316066,-50.5290162,3.427105965,-0.040133555,0.001744154,31.5076425,120.4016478,12.60535737,-9.32194,3.74726,-0.04248,31.50763411,120.4016476,12.45003847,0.012752978,-0.003194629,-0.903254313
1573538321,31.50765456,120.4016397,12.5112,-0.947215493,1.161298804,70.54619677,-5.591597469,-7.538784722,0.007306912,-8.22268,3.78237,0.12156,0.876676587,-0.17079527,-50.83892008,3.486811742,0.010974453,0.053064575,-7.459344933,5.245437823,0.018683088,-0.947215493,-1.161298804,-50.17740526,3.3974352,-0.037053307,-0.026577662,31.50764351,120.4016513,12.6140769,-9.10973,3.47394,-0.03503,31.50763505,120.4016511,12.457488,0.015270989,-0.002986169,-0.898220348
1573538321,31.50765546,120.4016427,12.5141,-0.811480865,1.256816102,70.20984883,-5.491807071,-7.250950512,0.004406491,-8.0028,3.51734,0.12747,1.005513175,-0.232798744,-50.49413318,3.444457224,0.034220476,0.04067093,-7.26561026,5.010334584,0.021583509,-0.811480865,-1.256816102,-49.84105732,3.37423692,-0.025614661,-0.060893342,31.50764454,120.4016547,12.61998646,-8.90334,3.21325,-0.03078,31.50763597,120.4016544,12.46173756,0.017658717,-0.004102338,-0.892275562
1573538321,31.5076565,120.401646,12.5125,-0.77837219,1.40853401,69.74821147,-5.376493699,-6.934617862,0.00600604,-7.78735,3.2672,0.12822,1.072934064,-0.387918034,-50.08352674,3.408343492,0.08774678,-0.042587308,-7.04740403,4.753917814,0.01998396,-0.77837219,-1.40853401,-49.37941997,3.368640823,0.023363115,-0.120335005,31.50764558,120.401658,12.62073606,-8.68978,2.95333,-0.03026,31.50763696,120.4016578,12.46225713,0.018576524,-0.006601184,-0.885080894
1573538321,31.5076576,120.4016493,12.5099,-0.908230986,1.489039697,69.16756791,-5.254527606,-6.621135056,0.008605606,-7.56144,3.01774,0.12473,0.968679893,-0.504542338,-49.5519851,3.393444689,0.150300608,-0.056753205,-6.823952982,4.502488248,0.017384394,-0.908230986,-1.489039697,-48.7987764,3.365950706,0.063946754,-0.092796368,31.5076467,120.4016613,12.61724565,-8.46692,2.69582,-0.0338,31.50763804,120.4016611,12.45871671,0.016645702,-0.008527487,-0.87565127
1573538321,31.50765876,120.4016526,12.5104,-0.977207178,1.455986305,68.52475125,-5.125908801,-6.307652257,0.008105184,-7.32556,2.76717,0.12301,0.891444682,-0.470680818,-48.92580848,3.41805519,0.178625513,-0.054546175,-6.594265208,4.253374241,0.017884816,-0.977207178,-1.455986305,-48.15595975,3.395526586,0.109472372,-0.072044327,31.50764791,120.4016646,12.61552525,-8.23481,2.43771,-0.03549,31.50763919,120.4016645,12.45702629,0.015345779,-0.008051029,-0.864734842
1573538321,31.50765976,120.4016565,12.4807,-1.213148674,1.256375965,67.7577786,-5.015030547,-5.937172592,0.037804739,-7.0774,2.51785,0.12041,0.597043687,-0.287709055,-48.2210804,3.417028049,0.227177887,-0.030737696,-6.361370285,3.944652482,-0.011814739,-1.213148674,-1.256375965,-47.38898709,3.399989915,0.089100851,-0.02947637,31.50764923,120.401668,12.61292486,-7.99519,2.18675,-0.03929,31.50764043,120.4016679,12.45322589,0.010526909,-0.00499473,-0.852456965
1573538321,31.50766099,120.4016598,12.4868,-1.187039628,0.989257346,66.84224317,-4.878650232,-5.627489601,0.031704354,-6.82929,2.27511,0.12244,0.578653478,-0.064036206,-47.36367032,3.368946577,0.21240947,0.040641648,-6.125728881,3.701802169,-0.005714354,-1.187039628,-0.989257346,-46.47345166,3.349245073,0.026345558,0.003022284,31.50765056,120.4016713,12.61495448,-7.75397,1.93961,-0.03754,31.50764169,120.4016712,12.4549755,0.010095267,-0.001088908,-0.837566994
1573538321,31.50766219,120.401663,12.4918,-0.895476528,1.042463696,65.72876772,-4.745596257,-5.323506303,0.026703992,-6.58449,2.03763,0.12954,0.812213154,-0.016635738,-46.30039584,3.306461836,0.158283281,0.077724071,-5.895189671,3.463137388,-0.000713992,-0.895476528,-1.042463696,-45.35997621,3.301989074,-0.018000727,-0.025162987,31.50765189,120.4016745,12.62205413,-7.51662,1.702,-0.03159,31.50764295,120.4016744,12.46092513,0.014092565,-0.000120301,-0.818800147
1573538322,31.50766359,120.4016665,12.4956,-0.593332799,1.078613212,64.46921066,-4.590366595,-4.995774313,0.022903613,-6.33797,1.81108,0.13631,1.140583162,-0.071891554,-45.14638794,3.293058886,0.21866884,0.055196299,-5.635595376,3.209927381,0.003086387,-0.593332799,-1.078613212,-44.10041915,3.285288901,0.085480047,-0.025964034,31.50765326,120.4016777,12.6288238,-7.28036,1.47455,-0.02494,31.50764424,120.4016775,12.46757479,0.019900081,-0.001217147,-0.798844099
1573538322,31.50766483,120.4016692,12.4984,-0.55118061,1.135395909,63.4295156,-4.452877442,-4.734538669,0.020103316,-6.08633,1.5988,0.14126,1.217693513,-0.131849497,-44.03174379,3.268322569,0.27962327,0.02681274,-5.415777123,3.012881029,0.005886684,-0.55118061,-1.135395909,-43.06072409,3.269347679,0.104650499,-0.041285951,31.50765472,120.4016807,12.63377349,-7.0384,1.2628,-0.02147,31.50764562,120.4016805,12.47104446,0.02135067,-0.002237904,-0.779273199
1573538322,31.50766628,120.4016722,12.5001,-0.61728313,1.107474911,62.11218257,-4.292103818,-4.449554333,0.018403001,-5.83198,1.40101,0.14212,1.21815291,-0.134639407,-42.76856665,3.249685207,0.361257172,-0.028813032,-5.165864332,2.801675379,0.007586999,-0.61728313,-1.107474911,-41.74339106,3.276694332,0.189339006,-0.041002147,31.50765625,120.4016836,12.63463319,-6.78014,1.04685,-0.02005,31.50764712,120.4016836,12.47246413,0.0213476,-0.002205282,-0.75727017
1573538322,31.50766787,120.4016751,12.5015,-0.926524704,0.980531055,60.68725322,-4.115807198,-4.174069471,0.017002698,-5.55526,1.20248,0.1401,0.922499538,-0.006731337,-41.39219442,3.229946644,0.444476131,-0.032339706,-4.904705573,2.604778174,0.008987302,-0.926524704,-0.980531055,-40.31846171,3.227733859,0.234703496,-0.060857332,31.50765797,120.4016866,12.63261289,-6.50701,0.84657,-0.02383,31.5076488,120.4016866,12.4686838,0.015949139,0.000252583,-0.733069076
1573538322,31.50766951,120.4016779,12.4994,-1.215580876,1.085353544,59.16409692,-3.933966646,-3.908084093,0.019102413,-5.27232,1.01848,0.13604,0.616951006,-0.054034764,-39.8949362,3.187745941,0.449653597,-0.039760332,-4.641655937,2.418716095,0.006887587,-1.215580876,-1.085353544,-38.79530541,3.203771591,0.217835649,-0.087300298,31.50765978,120.4016894,12.6285526,-6.23317,0.65992,-0.02719,31.50765053,120.4016894,12.46532349,0.010750835,-0.000595024,-0.707008267
1573538322,31.50767116,120.4016807,12.496,-1.341845504,1.222273561,57.63739952,-3.751017298,-3.644948564,0.022502147,-4.99044,0.84009,0.13354,0.428568101,-0.182116053,-38.36975564,3.216734511,0.371225656,-0.038622429,-4.37855876,2.235711597,0.003487853,-1.341845504,-1.222273561,-37.26860802,3.22262126,0.16902127,-0.092331162,31.50766161,120.4016922,12.62605233,-5.96317,0.48602,-0.03109,31.50765227,120.4016921,12.46142321,0.007329042,-0.002964722,-0.680297926
1573538322,31.50767287,120.4016834,12.4947,-1.341844799,1.209760782,56.18136892,-3.561415238,-3.381813043,0.023801893,-4.71042,0.67124,0.13106,0.418620673,-0.186437358,-36.92058611,3.239134338,0.344624415,-0.020058487,-4.109224856,2.05502266,0.002188107,-1.341844799,-1.209760782,-35.81257741,3.246350384,0.150400387,-0.060348137,31.50766344,120.4016949,12.62357209,-5.6917,0.31141,-0.03306,31.50765402,120.4016948,12.45945293,0.00730416,-0.003094224,-0.655231927
