time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_roll_by_manual,align_pitch_by_manual,align_yaw_by_manual,align_vel_x,align_vel_y,align_vel_z,algo_lat,algo_lon,algo_alt
1571105793,31.50960216,120.4060857,735.3340343,0.890370331,1.011915552,-43.74817861,146.8014521,387.7672678,-0.342927256,-182.0410405,348.1918356,-1.222350339,0.6178663,-1.68572432,-137.3995236,14.55629136,0.288514893,-0.472592224,-174.1986458,375.7183038,0.354787569,0.890370331,-1.011915552,-131.9587034,,,,13.66931928,-0.175266388,-0.249050646,31.50969128,120.4058029,11.255523
1571105793,31.50961395,120.4060729,735.5288399,0.850811953,0.896255988,-43.64723536,148.1086644,386.5513116,-0.346370657,-183.4351559,346.8693914,-1.231692132,0.585111076,-1.626917892,-137.5066144,14.60138411,0.290825984,-0.563037419,-175.411165,374.4079029,0.35823097,0.850811953,-0.896255988,-132.0596467,,,,13.77758261,-0.188660449,-0.172747787,31.50970472,120.4057901,11.24614958
1571105793,31.5096258,120.4060601,735.6548906,0.889814915,0.738019842,-43.55027272,149.4225294,385.3344055,-0.348613459,-184.8714724,345.4927498,-1.248984717,0.601122577,-1.415565555,-137.6010677,14.6499427,0.296086488,-0.445530226,-176.6302472,373.0960567,0.360473772,0.889814915,-0.738019842,-132.1566093,,,,13.76458147,-0.190156288,-0.188480528,31.50971856,120.4057768,11.22882424
1571105793,31.50963766,120.4060473,735.5173808,0.916248761,0.920224678,-43.45075593,150.7375034,384.1193992,-0.346255616,-186.2942015,344.1329392,-1.254685197,0.643715907,-1.617240584,-137.6986882,14.68545094,0.302455933,-0.441844205,-177.8505773,371.786022,0.358115929,0.916248761,-0.920224678,-132.2561261,,,,13.77669482,-0.185699256,-0.230647425,31.50973228,120.4057637,11.22309214
1571105793,31.50964958,120.4060345,735.5804061,0.919374731,1.006672175,-43.35214407,152.0591302,382.9024933,-0.347397223,-187.7243558,342.7766398,-1.260893925,0.606042525,-1.683336405,-137.790456,14.75029559,0.293536323,-0.549267981,-179.0773995,370.473595,0.359257537,0.919374731,-1.006672175,-132.354738,,,,13.87231674,-0.17849206,-0.212217044,31.50974606,120.4057506,11.21685281
1571105793,31.50966251,120.4060206,735.7809414,0.881095781,0.73147498,-43.25669983,153.4927408,381.5848915,-0.350941639,-189.1548446,341.411603,-1.278704983,0.559181364,-1.412312933,-137.8810579,14.78850703,0.330300281,-0.483931655,-180.4083533,369.0523716,0.362801953,0.881095781,-0.73147498,-132.4501822,,,,13.89758944,-0.178103958,-0.179118014,31.50975984,120.4057374,11.1990113
1571105793,31.50967509,120.4060079,731.5868903,0.905324965,0.764592472,-43.14351313,154.8875463,380.3793783,-0.277779728,-190.5860692,340.0582538,-1.292029865,0.606868339,-1.436879085,-137.9841878,14.7974885,0.321133172,-0.462225103,-181.7090017,367.7458273,0.289640042,0.905324965,-0.764592472,-132.5633689,,,,13.9101635,-0.197406685,-0.240953572,31.50977363,120.4057243,11.18565722
1571105794,31.50968812,120.4059941,731.1915494,0.929725714,0.797550921,-43.01966056,156.3322449,379.0665258,-0.270922429,-192.0209469,338.727571,-1.305544103,0.617809908,-1.503878448,-138.0921189,14.84425559,0.282872037,-0.516519592,-183.051368,366.3285098,0.282782743,0.929725714,-0.797550921,-132.6872215,,,,13.96810798,-0.199078702,-0.229050633,31.50978743,120.4057114,11.17211571
1571105794,31.50970028,120.4059813,730.9451776,0.93434334,0.724256275,-42.91166169,157.6804829,377.8448703,-0.266661531,-193.4585895,337.4085845,-1.314953932,0.686171736,-1.44311617,-138.2034153,14.84125723,0.298640649,-0.466334769,-184.3043711,365.0093545,0.278521844,0.93434334,-0.724256275,-132.7952203,,,,13.98851429,-0.202901356,-0.212156077,31.50980125,120.4056987,11.16267992
1571105794,31.50971248,120.4059684,730.6243212,1.007829906,0.788830814,-42.7978731,159.0331561,376.6260647,-0.261099833,-194.9448361,336.0011548,-1.335138461,0.755511198,-1.46754225,-138.3605461,14.91732304,0.307175384,-0.472615907,-185.5620105,363.692709,0.272960147,1.007829906,-0.788830814,-132.9090089,,,,14.02253619,-0.208533716,-0.231342051,31.50981557,120.4056851,11.14246687
