time,ins1000_lon,ins1000_lat,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_vel_x,align_vel_y,align_vel_z,algo_lon,algo_lat,algo_alt
1571103878,120.4016478,31.50816399,724.6082643,0.124773837,1.319131843,-88.31303853,52.44884061,-9.773958792,0.093823989,47.87557083,10.46033868,1.052626772,0.376709151,-1.812635591,85.69593017,3.419576385,0.447832161,-0.107024243,53.38008025,10.3364939,-0.051064034,0.124773837,-1.319131843,88.93730415,3.380121767,0.159513782,-0.023867989,120.4016459,31.50811436,13.75044805
1571103878,120.4016428,31.50816393,724.9577686,-0.071116317,1.264681279,-89.10131513,52.4421884,-10.24703019,0.087724677,47.84561604,10.9171716,1.047553221,0.083154971,-1.7775905,86.47909125,3.425595301,0.400625254,-0.140996335,53.3682742,10.80946474,-0.044964721,-0.071116317,-1.264681279,89.72558075,3.361316419,0.07036714,-0.032208368,120.401641,31.50811414,13.74537504
1571103878,120.4016382,31.50816395,725.3989461,0.116598914,1.198915733,-89.69895126,52.44440647,-10.68210389,0.080025408,47.82625348,11.36866259,1.042179603,0.159028045,-1.727917007,87.15456103,3.384608168,0.270845538,-0.106718609,53.36575189,11.24453678,-0.037265452,0.116598914,-1.198915733,90.32321688,3.332836201,-0.0087818,0.005484481,120.4016363,31.508114,13.74000207
1571103878,120.4016337,31.50816395,725.9203377,0.378940274,1.207936078,-90.18238548,52.444407,-11.11242788,0.070926142,47.80872217,11.81536096,1.043378622,0.461631172,-1.695686558,87.66470775,3.351867569,0.23933041,-0.069209577,53.36106392,11.67483523,-0.028166186,0.378940274,-1.207936078,90.8066511,3.296877172,0.025253986,0.006833545,120.4016316,31.50811389,13.74120177
1571103878,120.4016292,31.50816389,726.4417293,0.48751512,1.226286327,-90.63495236,52.43775483,-11.5389521,0.061826844,47.78889791,12.26213727,1.049124216,0.568301128,-1.744793256,88.13518878,3.332868677,0.245584122,-0.086253304,53.34976504,12.10126166,-0.019066889,0.48751512,-1.226286327,91.25921798,3.265901248,-0.003668608,-0.009665235,120.4016269,31.50811376,13.74694806
1571103879,120.4016244,31.50816397,724.1040615,0.583616271,1.243539802,-90.73107459,52.44662528,-11.99302455,0.102627754,47.77416649,12.70475733,1.050275921,0.731298603,-1.74473251,88.51297827,3.297177282,0.172224798,-0.098700232,53.35368773,12.5554038,-0.059867798,0.583616271,-1.243539802,91.35534021,3.237751987,0.044982252,-0.021230387,120.4016222,31.50811367,13.74810053
1571103879,120.4016197,31.50816382,724.4879432,0.387783226,1.210377422,-90.87916769,52.4299941,-12.44234741,0.095928477,47.76408379,13.14257193,1.050933364,0.651544112,-1.715517786,88.67602856,3.275710484,0.173428554,-0.081000713,53.33216203,13.00451879,-0.053168521,0.387783226,-1.210377422,91.50343331,3.174499094,0.103220671,-0.027661783,120.4016176,31.50811362,13.74875878
1571103879,120.4016154,31.50816367,724.694208,0.068321143,1.47535747,-90.98779235,52.41336285,-12.85082272,0.09232915,47.75037656,13.57370961,1.058383034,0.222892859,-1.924763175,88.80391265,3.226986118,0.139574553,-0.033568852,53.31108132,13.41278866,-0.049569194,0.068321143,-1.47535747,91.61205798,3.139412335,0.034819212,-0.050388695,120.4016131,31.50811354,13.75620926
1571103879,120.4016111,31.50816362,725.0322531,0.125217805,1.53251939,-90.93837628,52.40781949,-13.26024798,0.086429941,47.74886048,14.00095312,1.064369975,0.223994071,-2.072944983,88.79790558,3.219518138,0.019547006,-0.100780929,53.30107749,13.82212922,-0.043669985,0.125217805,-1.53251939,91.56264191,3.143242195,-0.060127243,-0.023040813,120.4016086,31.50811357,13.76219711
1571103879,120.4016065,31.50816366,725.5192672,0.498930094,1.486875478,-90.89299609,52.41225527,-13.69722156,0.077930899,47.75702907,14.42611108,1.066383356,0.570033348,-2.017960054,88.73303345,3.188902182,0.017476834,-0.09219705,53.30075205,14.25912519,-0.035170943,0.498930094,-1.486875478,91.51726171,3.094319887,-0.054904933,-0.020521032,120.4016041,31.50811368,13.7642115
