time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw
1570519627.305,31.50794513,120.40119573999999,738.4108176307511,-0.8019800119107635,-1.1265878315685167,-178.85758260872655,27.735268350957348,-52.194716433782204,-0.33512608720852377,23.0576621641,52.1317069388,-0.0206533161745,0.4585043592422272,5.68920059503181,178.42379156957668
1570519627.505,31.507938420000002,120.40119517,735.6606202141231,-1.109845215139775,-1.1019242100131932,-178.99230650415979,26.991273948457767,-52.24886662669587,-0.2871288504755949,22.3372971475,52.1229054159,-0.0225166545132,0.631287856263892,5.821411199075194,178.46322601715963
1570519627.704,31.507931519999996,120.40119459,735.7580230392954,-0.9037666510770591,-1.207398524461313,-179.0622130948924,26.226212861011152,-52.30396728409406,-0.2888316046501256,21.6149809751,52.0965178328,-0.0229762888448,0.3506254490138089,5.702930085394711,178.45221701553004
1570519627.904,31.507924970000005,120.40119402999998,735.6262427464153,-0.6051205150234275,-1.1411094255167051,-179.07716927294422,25.49995921165479,-52.35716783298044,-0.2865341245133095,20.8958440987,52.076894984,-0.030976544477,0.32785352074045254,5.762299296189825,178.49805361555957
1570519628.104,31.50791843,120.40119363999999,735.769482195198,-0.8672299105853456,-1.047921453756247,-179.15548172503566,24.774814284331008,-52.394219355638576,-0.28903668925620885,20.1810136841,52.0639737408,-0.0483137557969,0.6505389401196044,5.797734758004604,178.5307851871997
1570519628.304,31.507911869999997,120.40119328,735.8382371306137,-1.1076694554807545,-1.2309592992525253,-179.30049109454754,24.047451769033135,-52.42842104753983,-0.29023920287470695,19.4703423681,52.0358090919,-0.0543221477347,0.49834903299368954,5.630544212835453,178.59118965089903
1570519628.504,31.50790515,120.40119247999999,733.1625242273527,-0.9336955521128633,-1.2105550786776504,-179.485885718159,23.302348735820672,-52.50442003033544,-0.2435413548758465,18.7632028606,52.0048220482,-0.052499582877,0.14141634644007,5.7422640338685,178.67671704782336
1570519628.704,31.50789834,120.40119203,733.466191858772,-0.9786183842761554,-1.291552810220957,-179.59932069388233,22.547266670087083,-52.547171416025456,-0.24884372844686986,18.0593277597,51.9820120222,-0.0622093785882,0.2994841546173725,5.710866498900985,178.82083385065542
1570519628.904,31.507891930000003,120.40119167999998,733.3802481895024,-1.1487195860641513,-1.2351543217369563,-179.74695161302793,21.836535917214796,-52.58042307720364,-0.24734593764050317,17.3584784707,51.9532408291,-0.0666063854258,0.3800844655086665,5.782344678104194,178.92755965922333
1570519629.104,31.50788559,120.40119119999999,733.0937692919371,-0.8265412054674118,-1.2022717105504606,-179.86526403777464,21.133566706746578,-52.62602396318791,-0.24234793928876464,16.6739507068,51.9054209824,-0.0704542521796,0.07276005911492014,5.717001018193732,178.96627662522044
1570519629.304,31.507879299999995,120.40119088,732.9046932195439,-0.9512983310196559,-1.2604827711231112,-179.9895351525892,20.436141350421867,-52.65642571340536,-0.23904996912415122,15.9982020006,51.874305222,-0.0880245199533,0.3124615938494032,5.677623273934422,179.04223670535592
1570519629.504,31.507872679999995,120.40119030000001,732.0853635725068,-1.0514392969483177,-1.3774132049375107,179.76051281262164,19.702126195311408,-52.711526145421864,-0.2247518338501333,15.3402379701,51.8433991699,-0.0994152784743,0.2664111445859192,5.675364226422984,179.14811401354214
